time, value
0.071, 17.625
0.141, 18.40625
0.221, 17.84375
0.291, 17.640625
0.371, 18.5625
0.441, 19.390625
0.521, 17.6875
0.591, 17.828125
0.671, 18.03125
0.741, 17.625
0.821, 17.671875
0.891, 17.125
0.971, 18.84375
1.041, 16.546875
1.121, 18.640625
1.191, 17.6875
1.271, 18.25
1.341, 17.671875
1.421, 17.859375
1.491, 17.640625
1.571, 18.125
1.641, 17.421875
1.721, 17.421875
1.791, 17.359375
1.871, 18.078125
1.941, 19.03125
2.021, 19.09375
2.091, 18.546875
2.171, 18.03125
2.241, 17.234375
2.321, 16.703125
2.391, 16.984375
2.471, 17.15625
2.541, 18.390625
2.621, 18.6875
2.691, 18.78125
2.771, 18
2.841, 18.203125
2.921, 16.78125
2.991, 17.140625
3.071, 18.234375
3.141, 17.65625
3.221, 19.203125
3.291, 18.1875
3.371, 17.765625
3.441, 16.953125
3.521, 17.71875
3.591, 17.859375
3.671, 17.84375
3.741, 18
3.821, 16.109375
3.891, 17.875
3.971, 17.71875
4.041, 17.234375
4.121, 16.65625
4.191, 18.140625
4.271, 19.140625
4.341, 17.484375
4.421, 19.453125
4.491, 18.140625
4.571, 18.34375
4.641, 18.03125
4.721, 18.890625
4.791, 17.765625
4.871, 18.8125
4.941, 18.140625
5.021, 17.46875
5.091, 16.734375
5.171, 18.484375
5.241, 17.28125
5.321, 16.71875
5.391, 18.625
5.471, 16.1875
5.541, 17.75
5.621, 17.953125
5.691, 18.953125
5.771, 17.03125
5.841, 16.984375
5.921, 15.7578125
5.991, 17.015625
6.071, 18.765625
6.141, 19.21875
6.221, 19.359375
6.291, 18.296875
6.371, 18.296875
6.441, 18.28125
6.521, 18.421875
6.591, 19.59375
6.671, 18.875
6.741, 18.046875
6.821, 17.4375
6.891, 17.984375
6.971, 19.40625
7.041, 18.484375
7.121, 19.34375
7.191, 17.3125
7.271, 17.4375
7.341, 16.921875
7.421, 16.890625
7.491, 17.75
7.571, 18.78125
7.641, 18.171875
7.721, 18.1875
7.791, 18.140625
7.871, 18.21875
7.941, 18.484375
8.021, 17.390625
8.091, 19.015625
8.171, 17.75
8.241, 19.15625
8.321, 18.84375
8.391, 17.28125
8.471, 17.203125
8.541, 18.875
8.621, 16.96875
8.691, 17.5
8.771, 19.140625
8.841, 18.359375
8.921, 18.203125
8.991, 17.71875
9.071, 17.859375
9.141, 17.53125
9.221, 18.28125
9.291, 18.3125
9.371, 18.421875
9.441, 17.75
9.521, 17.921875
9.591, 16.9375
9.671, 17.09375
9.741, 18.28125
9.821, 18.578125
9.891, 17.71875
9.971, 18.359375
10.041, 18.03125
10.121, 16.21875
10.191, 18.046875
10.271, 18.875
10.341, 17.65625
10.421, 18.328125
10.491, 18.515625
10.571, 18.765625
10.641, 17.953125
10.721, 18.5625
10.791, 17.6875
10.871, 17.09375
10.941, 16.9375
11.021, 18.375
11.091, 17.515625
11.171, 17.265625
11.241, 16.609375
11.321, 16.734375
11.391, 18.09375
11.471, 17.984375
11.541, 16.484375
11.621, 17.609375
11.691, 17.515625
11.771, 18.890625
11.841, 17.9375
11.921, 17.953125
11.991, 18.71875
12.071, 15.8515625
12.141, 17.75
12.221, 17.640625
12.291, 16.859375
12.371, 18.40625
12.441, 18.15625
12.521, 16.5625
12.591, 17.140625
12.671, 18.28125
12.741, 19.171875
12.821, 18.4375
12.891, 16.5625
12.971, 15.234375
13.041, 18
13.121, 17.875
13.191, 18.390625
13.271, 17.9375
13.341, 17.75
13.421, 18.375
13.491, 18.15625
