time, value
0.071, 17.296875
0.141, 17.90625
0.221, 17.859375
0.291, 17.53125
0.371, 17.65625
0.441, 15.546875
0.521, 18.328125
0.591, 16.6875
0.671, 18.4375
0.741, 15.5
0.821, 16.453125
0.891, 17.9375
0.971, 16.484375
1.041, 16.359375
1.121, 16.703125
1.191, 15.9921875
1.271, 18.9375
1.341, 15.6875
1.421, 17.890625
1.491, 15.7890625
1.571, 17.984375
1.641, 16.90625
1.721, 16.859375
1.791, 16.421875
1.871, 17.03125
1.941, 17.609375
2.021, 18.125
2.091, 17.765625
2.171, 18.234375
2.241, 14.6953125
2.321, 16.75
2.391, 19.140625
2.471, 17.578125
2.541, 16.96875
2.621, 16.171875
2.691, 16.921875
2.771, 15.9609375
2.841, 17.28125
2.921, 17.9375
2.991, 15.8359375
3.071, 15.2421875
3.141, 16.3125
3.221, 16.84375
3.291, 15.9453125
3.371, 17.203125
3.441, 15.890625
3.521, 17.6875
3.591, 17.296875
3.671, 18.34375
3.741, 17.421875
3.821, 17.875
3.891, 17.234375
3.971, 17.546875
4.041, 16.234375
4.121, 16.6875
4.191, 16.953125
4.271, 15.609375
4.341, 17.171875
4.421, 17.140625
4.491, 16.5625
4.571, 18.421875
4.641, 16.1875
4.721, 15.84375
4.791, 17.734375
4.871, 16.1875
4.941, 15.75
5.021, 17.71875
5.091, 17.265625
5.171, 17.796875
5.241, 17.1875
5.321, 16.578125
5.391, 18.0625
5.471, 16.765625
5.541, 17.140625
5.621, 17.34375
5.691, 15.984375
5.771, 18.46875
5.841, 17.640625
5.921, 16.203125
5.991, 17.28125
6.071, 15.8515625
6.141, 16.96875
6.221, 17.0625
6.291, 17.390625
6.371, 18.203125
6.441, 17.96875
6.521, 17.671875
6.591, 17.3125
6.671, 16.359375
6.741, 18.328125
6.821, 16.84375
6.891, 17.5625
6.971, 18
7.041, 16.78125
7.121, 17.796875
7.191, 18.546875
7.271, 18.15625
7.341, 16.28125
7.421, 16.875
7.491, 16.5
7.571, 14.8046875
7.641, 17.609375
7.721, 16.328125
7.791, 17.15625
7.871, 16.640625
7.941, 16.0625
8.021, 17.96875
8.091, 18.765625
8.171, 16.640625
8.241, 16.359375
8.321, 18.328125
8.391, 16.234375
8.471, 17.28125
8.541, 16.171875
8.621, 16.546875
8.691, 16.53125
8.771, 17.953125
8.841, 17.6875
8.921, 17.390625
8.991, 14.921875
9.071, 18.4375
9.141, 15.9609375
9.221, 17.40625
9.291, 19.140625
9.371, 17.53125
9.441, 16.671875
9.521, 18.546875
9.591, 16.53125
9.671, 16.15625
9.741, 16.96875
9.821, 16.515625
9.891, 18.390625
9.971, 17.921875
10.041, 18.453125
10.121, 18.484375
10.191, 17.390625
10.271, 17.515625
10.341, 15.6796875
10.421, 16.6875
10.491, 16.796875
10.571, 16.515625
10.641, 18.578125
10.721, 17.4375
10.791, 18.4375
10.871, 19.234375
10.941, 17.109375
11.021, 16.671875
11.091, 17.796875
11.171, 15.765625
11.241, 17.5625
11.321, 17.796875
11.391, 16.609375
11.471, 17.453125
11.541, 17.65625
11.621, 18.453125
11.691, 16.078125
11.771, 15.6328125
11.841, 16.890625
11.921, 18.421875
11.991, 18.40625
12.071, 17.71875
12.141, 16.875
12.221, 17.328125
12.291, 16.765625
12.371, 18.21875
12.441, 15.9921875
12.521, 18.40625
12.591, 16.96875
12.671, 15.53125
12.741, 16.015625
12.821, 17.09375
12.891, 16.78125
12.971, 15.1796875
13.041, 16.09375
13.121, 16.78125
13.191, 18.171875
13.271, 18.40625
13.341, 15.5546875
13.421, 17.609375
13.491, 19.015625
