time, value
0.071, 9.6953125
0.141, 9.7109375
0.221, 9.7578125
0.291, 9.40625
0.371, 7.60546875
0.441, 8.515625
0.521, 7.515625
0.591, 9.3515625
0.671, 7.83984375
0.741, 7.28125
0.821, 9.2890625
0.891, 9.7578125
0.971, 7.83984375
1.041, 9.375
1.121, 7.5859375
1.191, 9.2421875
1.271, 8.8515625
1.341, 9.7890625
1.421, 9.2265625
1.491, 8.1953125
1.571, 9.5859375
1.641, 9.578125
1.721, 9.21875
1.791, 8.8671875
1.871, 7.8828125
1.941, 9.3671875
2.021, 9.671875
2.091, 9.1328125
2.171, 9.0625
2.241, 11.0859375
2.321, 9.6875
2.391, 7.125
2.471, 8.640625
2.541, 9.4140625
2.621, 8.0625
2.691, 9.5078125
2.771, 7.98046875
2.841, 8.4921875
2.921, 9.46875
2.991, 9.0859375
3.071, 8.65625
3.141, 9.578125
3.221, 7.89453125
3.291, 8.421875
3.371, 9.7265625
3.441, 8
3.521, 8.015625
3.591, 7.96875
3.671, 6.84765625
3.741, 9.8671875
3.821, 9.3515625
3.891, 6.44140625
3.971, 9.7265625
4.041, 8.0625
4.121, 8.5234375
4.191, 9.1328125
4.271, 9.25
4.341, 8.4140625
4.421, 8.84375
4.491, 7.60546875
4.571, 9.4609375
4.641, 9.03125
4.721, 10.5859375
4.791, 9.5546875
4.871, 8.8359375
4.941, 8.921875
5.021, 7.140625
5.091, 8.28125
5.171, 7.59375
5.241, 9.375
5.321, 9.40625
5.391, 8.7890625
5.471, 9.0546875
5.541, 9.265625
5.621, 9
5.691, 9.0234375
5.771, 8.8203125
5.841, 7.84765625
5.921, 8.96875
5.991, 10
6.071, 8.8125
6.141, 8.21875
6.221, 7.578125
6.291, 9.078125
6.371, 9.46875
6.441, 9.2265625
6.521, 8.171875
6.591, 8.15625
6.671, 8.1328125
6.741, 9.3046875
6.821, 9.5390625
6.891, 8.3984375
6.971, 8.359375
7.041, 7.9375
7.121, 8.9140625
7.191, 9.7109375
7.271, 9.2578125
7.341, 9.5625
7.421, 10.3671875
7.491, 8.9375
7.571, 9.5625
7.641, 7.5859375
7.721, 8.65625
7.791, 8.5859375
7.871, 7.4453125
7.941, 7.53515625
8.021, 11.2265625
8.091, 7.37890625
8.171, 9.0859375
8.241, 9.7578125
8.321, 8.5859375
8.391, 9.0234375
8.471, 9.0390625
8.541, 7.51171875
8.621, 9.3125
8.691, 10.046875
8.771, 9.3046875
8.841, 7.0703125
8.921, 8.9453125
8.991, 8.5
9.071, 8.265625
9.141, 10.40625
9.221, 9.5234375
9.291, 9.65625
9.371, 7.83203125
9.441, 9.703125
9.521, 7.63671875
9.591, 9.265625
9.671, 9.5234375
9.741, 10.1484375
9.821, 8.640625
9.891, 7.62109375
9.971, 8.875
10.041, 8.0234375
10.121, 8.3125
10.191, 9.296875
10.271, 9.796875
10.341, 8.8828125
10.421, 9.7109375
10.491, 8.9375
10.571, 7.0390625
10.641, 9.7421875
10.721, 8.4921875
10.791, 8.3125
10.871, 7.96484375
10.941, 7.41015625
11.021, 9.0390625
11.091, 7.765625
11.171, 6.4453125
11.241, 8.625
11.321, 8.84375
11.391, 10.34375
11.471, 8.90625
11.541, 9.265625
11.621, 8.0078125
11.691, 9.0859375
11.771, 9.5546875
11.841, 8.796875
11.921, 9.265625
11.991, 6.2578125
12.071, 7.83984375
12.141, 9.09375
12.221, 7.92578125
12.291, 8.109375
12.371, 9.0859375
12.441, 9.4296875
12.521, 10.0703125
12.591, 10.171875
12.671, 9.5234375
12.741, 8.9921875
12.821, 9.1640625
12.891, 8.53125
12.971, 9.28125
13.041, 8.3984375
13.121, 8.03125
13.191, 7.640625
13.271, 9.3671875
13.341, 9.1953125
13.421, 8.96875
13.491, 8.5625
