time, value
0.071, 10.9921875
0.141, 9.0546875
0.221, 10.6015625
0.291, 10.3828125
0.371, 10.8203125
0.441, 9.25
0.521, 9.1640625
0.591, 9.765625
0.671, 9.7734375
0.741, 10.7421875
0.821, 9.7265625
0.891, 10.765625
0.971, 10.7734375
1.041, 9.7734375
1.121, 10.3125
1.191, 9.46875
1.271, 10.203125
1.341, 11.3359375
1.421, 10.890625
1.491, 10.2421875
1.571, 9.8359375
1.641, 10.4609375
1.721, 10.46875
1.791, 10.8125
1.871, 10.7890625
1.941, 9.6171875
2.021, 11.1015625
2.091, 11.1640625
2.171, 9.015625
2.241, 9.765625
2.321, 9.140625
2.391, 10.9140625
2.471, 10.0234375
2.541, 10.9453125
2.621, 9.8515625
2.691, 10.8125
2.771, 10.0859375
2.841, 10.890625
2.921, 10
2.991, 12.15625
3.071, 10.03125
3.141, 9.9921875
3.221, 11.5859375
3.291, 10.1015625
3.371, 9.8046875
3.441, 11.640625
3.521, 10.484375
3.591, 9.3203125
3.671, 10.375
3.741, 9.109375
3.821, 9.2109375
3.891, 10.78125
3.971, 11.6171875
4.041, 10.5625
4.121, 10.6640625
4.191, 10.4609375
4.271, 9.8671875
4.341, 8.6953125
4.421, 9.9375
4.491, 9.84375
4.571, 9.90625
4.641, 11.390625
4.721, 9.3203125
4.791, 10.625
4.871, 11.578125
4.941, 9.5
5.021, 10.1484375
5.091, 9.7734375
5.171, 10.3046875
5.241, 9.8046875
5.321, 9.875
5.391, 11.6171875
5.471, 11.84375
5.541, 10.1328125
5.621, 9.9140625
5.691, 10.3125
5.771, 9.765625
5.841, 10.3203125
5.921, 9.8359375
5.991, 11.484375
6.071, 10.7578125
6.141, 9.890625
6.221, 10.390625
6.291, 11.078125
6.371, 10.9140625
6.441, 9.8125
6.521, 9.765625
6.591, 11.3671875
6.671, 11.109375
6.741, 10.296875
6.821, 10.6875
6.891, 10.2109375
6.971, 10.3046875
7.041, 10.546875
7.121, 11.78125
7.191, 9.765625
7.271, 12.0078125
7.341, 9.90625
7.421, 9.59375
7.491, 10.0546875
7.571, 10.609375
7.641, 11.7734375
7.721, 10.4765625
7.791, 9.8359375
7.871, 10.34375
7.941, 10
8.021, 9.765625
8.091, 11.46875
8.171, 10.9609375
8.241, 9.7734375
8.321, 10.6875
8.391, 9.859375
8.471, 9.7890625
8.541, 10.5859375
8.621, 10.3984375
8.691, 11.8515625
8.771, 9.9765625
8.841, 10.6171875
8.921, 10.2578125
8.991, 10.515625
9.071, 10.734375
9.141, 10.3203125
9.221, 10.6171875
9.291, 11.09375
9.371, 10.71875
9.441, 10.84375
9.521, 10
9.591, 9.5703125
9.671, 10.21875
9.741, 11.1328125
9.821, 10.0234375
9.891, 9.953125
9.971, 11.6328125
10.041, 9.8828125
10.121, 8.8125
10.191, 10.6171875
10.271, 9.765625
10.341, 10.7890625
10.421, 12.96875
10.491, 11.375
10.571, 10.921875
10.641, 10.7421875
10.721, 9.0390625
10.791, 9.765625
10.871, 10.0703125
10.941, 10.203125
11.021, 10.0703125
11.091, 9.5546875
11.171, 9.78125
11.241, 10.7265625
11.321, 9.765625
11.391, 9.78125
11.471, 8.7890625
11.541, 10.9921875
11.621, 9.9296875
11.691, 8.609375
11.771, 8.0625
11.841, 10.6015625
11.921, 9.8046875
11.991, 10.3984375
12.071, 9.9765625
12.141, 12.390625
12.221, 9.9921875
12.291, 9.8125
12.371, 9.8125
12.441, 9.5546875
12.521, 10.453125
12.591, 11.1328125
12.671, 9.8515625
12.741, 10.2578125
12.821, 9.765625
12.891, 9.96875
12.971, 9.828125
13.041, 11.2734375
13.121, 8.859375
13.191, 9.9296875
13.271, 11.7890625
13.341, 9.8515625
13.421, 10.1171875
13.491, 9.765625
