,RIE Power,DC Bias,r,e,s,er_si,er_re,selectivity
0,20.0,136.0,5.5,7.14,7.01,0.058416666666666665,0.0179,3.2635009310986964
1,30.0,220.0,5.5,8.26,4.21,0.035083333333333334,0.004833333333333334,7.258620689655173
2,40.0,256.0,5.5,7.1,4.1,0.034166666666666665,0.008333333333333333,4.1
3,10.0,75.0,5.5,12.0,7.0,0.058333333333333334,0.0016666666666666668,35.0
