,ICP Power,DC Bias,r,e,s,er_si,er_re,selectivity
0,1000.0,0.0,5.5,9.1,11.5,0.09583333333333334,0.026333333333333334,3.639240506329114
1,700.0,0.0,5.5,7.7,5.29,0.044083333333333335,0.0103,4.2799352750809065
2,500.0,0.0,5.5,8.12,4.9,0.04083333333333334,0.0076000000000000035,5.372807017543858
3,300.0,0.0,5.5,7.43,3.68,0.03066666666666667,0.0058333333333333345,5.257142857142856
