,RIE Power,DC Bias,r,e,s,er_si,er_re,selectivity
0,100.0,416.0,5.5,6.02,1.4,0.011666666666666665,0.002933333333333336,3.977272727272723
1,70.0,317.0,5.5,6.25,1.3,0.010833333333333334,0.0018333333333333326,5.909090909090912
2,70.0,215.0,5.5,6.27,1.14,0.0095,0.0012333333333333337,7.7027027027027
3,30.0,126.0,5.5,6.22,1.0,0.008333333333333333,0.0009333333333333342,8.92857142857142
