Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 896.25
Real Time (s), 901.95
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
231, 106.6672034305, 37
232, 107.1267034453, 39
233, 107.5862034601, 45
234, 108.0457034749, 36
235, 108.50520348970001, 64
236, 108.96470350450001, 37
237, 109.42420351930001, 57
238, 109.88370353410001, 41
239, 110.34320354890001, 50
240, 110.8027035637, 58
241, 111.2622035785, 57
242, 111.7217035933, 59
243, 112.1812036081, 41
244, 112.6407036229, 52
245, 113.1002036377, 50
246, 113.5597036525, 41
247, 114.0192036673, 37
248, 114.4787036821, 41
249, 114.9382036969, 45
250, 115.3977037117, 55
251, 115.8572037265, 51
252, 116.3167037413, 44
253, 116.7762037561, 59
254, 117.2357037709, 47
255, 117.6952037857, 34
256, 118.1547038005, 49
257, 118.6142038153, 48
258, 119.0737038301, 45
259, 119.5332038449, 44
260, 119.9927038597, 39
261, 120.4522038745, 55
262, 120.9117038893, 55
263, 121.3712039041, 48
264, 121.8307039189, 44
265, 122.2902039337, 49
266, 122.7497039485, 58
267, 123.2092039633, 41
268, 123.6687039781, 37
269, 124.1282039929, 57
270, 124.5877040077, 45
271, 125.0472040225, 56
272, 125.5067040373, 40
273, 125.9662040521, 37
274, 126.4257040669, 43
275, 126.8852040817, 46
276, 127.3447040965, 36
277, 127.8042041113, 37
278, 128.2637041261, 53
279, 128.7232041409, 41
280, 129.1827041557, 58
281, 129.6422041705, 49
282, 130.1017041853, 47
283, 130.5612042001, 40
284, 131.0207042149, 41
285, 131.4802042297, 46
286, 131.9397042445, 51
287, 132.3992042593, 64
288, 132.8587042741, 52
289, 133.3182042889, 55
290, 133.7777043037, 54
291, 134.2372043185, 35
292, 134.6967043333, 50
293, 135.1562043481, 59
294, 135.6157043629, 35
295, 136.0752043777, 48
296, 136.5347043925, 47
297, 136.9942044073, 45
298, 137.4537044221, 51
299, 137.91320443690003, 56
300, 138.37270445170003, 52
301, 138.83220446650003, 45
302, 139.29170448130003, 45
303, 139.75120449610003, 46
304, 140.21070451090003, 46
305, 140.67020452570003, 61
306, 141.12970454050003, 61
307, 141.58920455530003, 45
308, 142.04870457010003, 48
309, 142.50820458490003, 38
310, 142.96770459970003, 68
311, 143.42720461450003, 47
312, 143.88670462930003, 52
313, 144.34620464410003, 51
314, 144.80570465890003, 52
315, 145.26520467370003, 55
316, 145.72470468850003, 60
317, 146.18420470330003, 49
318, 146.64370471810003, 63
319, 147.10320473290002, 41
320, 147.56270474770002, 37
321, 148.02220476250002, 52
322, 148.48170477730002, 56
323, 148.94120479210002, 52
324, 149.40070480690002, 56
325, 149.86020482170002, 43
326, 150.31970483650002, 49
327, 150.77920485130002, 58
