Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 742.6
Real Time (s), 950.4
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
228, 105.2887033861, 2319
229, 105.7482034009, 2398
230, 106.2077034157, 2385
231, 106.6672034305, 2375
232, 107.1267034453, 2385
233, 107.5862034601, 2431
234, 108.0457034749, 2311
235, 108.50520348970001, 2395
236, 108.96470350450001, 2428
237, 109.42420351930001, 2423
238, 109.88370353410001, 2488
239, 110.34320354890001, 2411
240, 110.8027035637, 2354
241, 111.2622035785, 2466
242, 111.7217035933, 2400
243, 112.1812036081, 2416
244, 112.6407036229, 2517
245, 113.1002036377, 2415
246, 113.5597036525, 2369
247, 114.0192036673, 2565
248, 114.4787036821, 2417
249, 114.9382036969, 2568
250, 115.3977037117, 2461
251, 115.8572037265, 2499
252, 116.3167037413, 2558
253, 116.7762037561, 2547
254, 117.2357037709, 2472
255, 117.6952037857, 2492
256, 118.1547038005, 2398
257, 118.6142038153, 2466
258, 119.0737038301, 2476
259, 119.5332038449, 2401
260, 119.9927038597, 2491
261, 120.4522038745, 2517
262, 120.9117038893, 2427
263, 121.3712039041, 2489
264, 121.8307039189, 2473
265, 122.2902039337, 2500
266, 122.7497039485, 2509
267, 123.2092039633, 2415
268, 123.6687039781, 2495
269, 124.1282039929, 2530
270, 124.5877040077, 2522
271, 125.0472040225, 2437
272, 125.5067040373, 2468
273, 125.9662040521, 2499
274, 126.4257040669, 2504
275, 126.8852040817, 2416
276, 127.3447040965, 2467
277, 127.8042041113, 2484
278, 128.2637041261, 2482
279, 128.7232041409, 2495
280, 129.1827041557, 2445
281, 129.6422041705, 2568
282, 130.1017041853, 2480
283, 130.5612042001, 2522
284, 131.0207042149, 2523
285, 131.4802042297, 2471
286, 131.9397042445, 2482
287, 132.3992042593, 2495
288, 132.8587042741, 2502
289, 133.3182042889, 2462
290, 133.7777043037, 2492
291, 134.2372043185, 2480
292, 134.6967043333, 2549
293, 135.1562043481, 2467
294, 135.6157043629, 2458
295, 136.0752043777, 2529
296, 136.5347043925, 2504
297, 136.9942044073, 2434
298, 137.4537044221, 2452
299, 137.91320443690003, 2506
300, 138.37270445170003, 2462
301, 138.83220446650003, 2508
302, 139.29170448130003, 2444
303, 139.75120449610003, 2549
304, 140.21070451090003, 2469
305, 140.67020452570003, 2468
306, 141.12970454050003, 2482
307, 141.58920455530003, 2389
308, 142.04870457010003, 2368
309, 142.50820458490003, 2454
310, 142.96770459970003, 2389
311, 143.42720461450003, 2568
312, 143.88670462930003, 2371
313, 144.34620464410003, 2481
314, 144.80570465890003, 2499
315, 145.26520467370003, 2364
316, 145.72470468850003, 2500
317, 146.18420470330003, 2420
318, 146.64370471810003, 2389
319, 147.10320473290002, 2452
320, 147.56270474770002, 2339
321, 148.02220476250002, 2356
322, 148.48170477730002, 2493
323, 148.94120479210002, 2289
324, 149.40070480690002, 2463
325, 149.86020482170002, 2407
326, 150.31970483650002, 2392
327, 150.77920485130002, 2377
328, 151.23870486610002, 2435
329, 151.69820488090002, 2381
330, 152.15770489570002, 2414
331, 152.61720491050002, 2393
332, 153.07670492530002, 2324
333, 153.53620494010002, 2505
334, 153.99570495490002, 2356
335, 154.45520496970002, 2383
336, 154.91470498450002, 2457
337, 155.37420499930002, 2399
338, 155.83370501410002, 2467
339, 156.29320502890002, 2386
340, 156.75270504370002, 2333
341, 157.21220505850002, 2464
342, 157.67170507330002, 2435
343, 158.13120508810002, 2346
344, 158.59070510290002, 2416
345, 159.05020511770002, 2436
346, 159.50970513250002, 2409
347, 159.96920514730002, 2360
348, 160.42870516210002, 2407
349, 160.88820517690002, 2291
350, 161.34770519170002, 2292
351, 161.80720520650002, 2433
352, 162.26670522130001, 2411
353, 162.72620523610001, 2304
354, 163.1857052509, 2356
355, 163.6452052657, 2432
356, 164.1047052805, 2389
357, 164.5642052953, 2380
358, 165.0237053101, 2386
359, 165.4832053249, 2306
360, 165.9427053397, 2473
361, 166.4022053545, 2352
362, 166.8617053693, 2430
363, 167.3212053841, 2447
364, 167.7807053989, 2365
365, 168.2402054137, 2334
366, 168.6997054285, 2317
367, 169.1592054433, 2273
368, 169.6187054581, 2358
369, 170.0782054729, 2342
370, 170.5377054877, 2383
371, 170.9972055025, 2361
372, 171.4567055173, 2352
373, 171.9162055321, 2431
374, 172.3757055469, 2421
375, 172.8352055617, 2411
376, 173.2947055765, 2415
377, 173.7542055913, 2453
378, 174.2137056061, 2408
379, 174.6732056209, 2446
380, 175.1327056357, 2368
381, 175.5922056505, 2418
382, 176.0517056653, 2431
383, 176.5112056801, 2413
384, 176.9707056949, 2443
385, 177.43020570970003, 2476
386, 177.88970572450003, 2439
387, 178.34920573930003, 2469
388, 178.80870575410003, 2458
389, 179.26820576890003, 2443
390, 179.72770578370003, 2358
391, 180.18720579850003, 2477
392, 180.64670581330003, 2455
393, 181.10620582810003, 2480
394, 181.56570584290003, 2463
395, 182.02520585770003, 2410
396, 182.48470587250003, 2398
397, 182.94420588730003, 2386
398, 183.40370590210003, 2353
399, 183.86320591690003, 2509
400, 184.32270593170003, 2507
401, 184.78220594650003, 2411
402, 185.24170596130003, 2467
403, 185.70120597610003, 2404
404, 186.16070599090003, 2437
405, 186.62020600570003, 2397
406, 187.07970602050003, 2381
407, 187.53920603530003, 2402
408, 187.99870605010003, 2416
409, 188.45820606490003, 2499
410, 188.91770607970003, 2392
411, 189.37720609450002, 2442
412, 189.83670610930002, 2490
413, 190.29620612410002, 2491
414, 190.75570613890002, 2471
415, 191.21520615370002, 2384
416, 191.67470616850002, 2487
417, 192.13420618330002, 2374
418, 192.59370619810002, 2454
419, 193.05320621290002, 2423
420, 193.51270622770002, 2488
421, 193.97220624250002, 2456
422, 194.43170625730002, 2467
423, 194.89120627210002, 2441
424, 195.35070628690002, 2515
425, 195.81020630170002, 2391
426, 196.26970631650002, 2439
427, 196.72920633130002, 2434
428, 197.18870634610002, 2488
429, 197.64820636090002, 2392
430, 198.10770637570002, 2449
431, 198.56720639050002, 2437
432, 199.02670640530002, 2444
433, 199.48620642010002, 2455
434, 199.94570643490002, 2386
435, 200.40520644970002, 2468
436, 200.86470646450002, 2437
437, 201.32420647930002, 2430
438, 201.78370649410002, 2475
439, 202.24320650890002, 2463
440, 202.70270652370002, 2496
441, 203.16220653850002, 2524
442, 203.62170655330002, 2549
443, 204.08120656810001, 2424
444, 204.54070658290001, 2487
445, 205.00020659770001, 2440
446, 205.4597066125, 2553
447, 205.9192066273, 2445
448, 206.3787066421, 2505
449, 206.8382066569, 2482
450, 207.2977066717, 2470
451, 207.7572066865, 2519
452, 208.2167067013, 2544
453, 208.6762067161, 2520
454, 209.1357067309, 2547
455, 209.5952067457, 2466
456, 210.0547067605, 2582
457, 210.5142067753, 2510
458, 210.9737067901, 2601
459, 211.4332068049, 2377
460, 211.8927068197, 2554
461, 212.3522068345, 2553
462, 212.8117068493, 2556
463, 213.2712068641, 2546
464, 213.7307068789, 2569
465, 214.1902068937, 2477
466, 214.6497069085, 2484
467, 215.1092069233, 2497
468, 215.5687069381, 2504
469, 216.0282069529, 2497
470, 216.48770696770003, 2495
471, 216.94720698250003, 2480
472, 217.40670699730003, 2519
473, 217.86620701210003, 2607
474, 218.32570702690003, 2483
475, 218.78520704170003, 2583
476, 219.24470705650003, 2528
477, 219.70420707130003, 2573
478, 220.16370708610003, 2527
479, 220.62320710090003, 2492
480, 221.08270711570003, 2544
481, 221.54220713050003, 2625
482, 222.00170714530003, 2714
483, 222.46120716010003, 2598
484, 222.92070717490003, 2619
485, 223.38020718970003, 2528
486, 223.83970720450003, 2610
487, 224.29920721930003, 2483
488, 224.75870723410003, 2593
489, 225.21820724890003, 2594
490, 225.67770726370003, 2534
491, 226.13720727850003, 2625
492, 226.59670729330003, 2623
493, 227.05620730810003, 2648
494, 227.51570732290003, 2507
495, 227.97520733770003, 2539
496, 228.43470735250003, 2531
497, 228.89420736730003, 2603
498, 229.35370738210003, 2639
499, 229.81320739690003, 2575
500, 230.27270741170003, 2613
501, 230.73220742650003, 2527
502, 231.19170744130003, 2625
503, 231.65120745610002, 2577
504, 232.11070747090002, 2667
505, 232.57020748570002, 2753
506, 233.02970750050002, 2660
507, 233.48920751530002, 2686
508, 233.94870753010002, 2607
509, 234.40820754490002, 2632
510, 234.86770755970002, 2694
511, 235.32720757450002, 2701
512, 235.78670758930002, 2706
513, 236.24620760410002, 2655
514, 236.70570761890002, 2768
515, 237.16520763370002, 2712
516, 237.62470764850002, 2709
517, 238.08420766330002, 2644
518, 238.54370767810002, 2719
519, 239.00320769290002, 2735
520, 239.46270770770002, 2772
521, 239.92220772250002, 2739
522, 240.38170773730002, 2755
523, 240.84120775210002, 2743
524, 241.30070776690002, 2772
525, 241.76020778170002, 2789
526, 242.21970779650002, 2774
527, 242.67920781130002, 2830
528, 243.13870782610002, 2804
529, 243.59820784090002, 2735
530, 244.05770785570002, 2781
531, 244.51720787050002, 2752
532, 244.97670788530002, 2808
533, 245.43620790010002, 2740
534, 245.89570791490002, 2842
535, 246.35520792970001, 2763
536, 246.81470794450001, 2862
537, 247.2742079593, 2860
538, 247.7337079741, 2844
539, 248.1932079889, 2879
540, 248.6527080037, 2901
541, 249.1122080185, 2815
542, 249.5717080333, 2894
543, 250.0312080481, 2880
544, 250.4907080629, 2852
545, 250.9502080777, 2859
546, 251.4097080925, 2840
547, 251.8692081073, 2869
548, 252.3287081221, 2934
549, 252.7882081369, 2907
550, 253.2477081517, 2860
551, 253.7072081665, 2836
552, 254.1667081813, 2898
553, 254.6262081961, 3004
554, 255.0857082109, 2939
